field_id,year,crop_code,crop_name,dominant_pct,total_pixels
FIELD_0001,2020,24,Winter Wheat,87.4,121
FIELD_0001,2021,24,Winter Wheat,87.0,264
FIELD_0001,2022,24,Winter Wheat,96.3,149
FIELD_0001,2023,24,Winter Wheat,93.5,358
FIELD_0002,2020,5,Soybeans,97.2,435
FIELD_0002,2021,1,Corn,87.4,363
FIELD_0002,2022,5,Soybeans,90.6,98
FIELD_0002,2023,1,Corn,90.2,237
FIELD_0003,2020,24,Winter Wheat,95.2,100
FIELD_0003,2021,24,Winter Wheat,97.8,180
FIELD_0003,2022,24,Winter Wheat,93.8,378
FIELD_0003,2023,24,Winter Wheat,97.3,365
FIELD_0004,2020,5,Soybeans,89.0,102
FIELD_0004,2021,1,Corn,88.1,493
FIELD_0004,2022,5,Soybeans,91.4,480
FIELD_0004,2023,1,Corn,90.1,99
FIELD_0005,2020,5,Soybeans,87.7,309
FIELD_0005,2021,1,Corn,97.6,267
FIELD_0005,2022,5,Soybeans,90.1,319
FIELD_0005,2023,1,Corn,89.2,264
FIELD_0006,2020,1,Corn,96.0,286
FIELD_0006,2021,5,Soybeans,95.8,459
FIELD_0006,2022,1,Corn,92.9,90
FIELD_0006,2023,5,Soybeans,87.1,394
FIELD_0007,2020,24,Winter Wheat,90.1,185
FIELD_0007,2021,61,Fallow/Idle,95.6,130
FIELD_0007,2022,24,Winter Wheat,95.3,428
FIELD_0007,2023,24,Winter Wheat,89.7,90
FIELD_0008,2020,24,Winter Wheat,90.8,82
FIELD_0008,2021,24,Winter Wheat,89.0,265
FIELD_0008,2022,24,Winter Wheat,92.7,263
FIELD_0008,2023,24,Winter Wheat,91.1,150
FIELD_0009,2020,24,Winter Wheat,94.9,267
FIELD_0009,2021,24,Winter Wheat,88.3,332
FIELD_0009,2022,24,Winter Wheat,90.6,91
FIELD_0009,2023,24,Winter Wheat,87.6,401
FIELD_0010,2020,24,Winter Wheat,92.3,437
FIELD_0010,2021,24,Winter Wheat,88.2,286
FIELD_0010,2022,24,Winter Wheat,87.6,62
FIELD_0010,2023,24,Winter Wheat,88.8,135
FIELD_0011,2020,5,Soybeans,88.8,183
FIELD_0011,2021,1,Corn,87.8,389
FIELD_0011,2022,5,Soybeans,92.0,397
FIELD_0011,2023,1,Corn,96.8,434
FIELD_0012,2020,1,Corn,85.0,282
FIELD_0012,2021,5,Soybeans,87.1,460
FIELD_0012,2022,1,Corn,87.9,356
FIELD_0012,2023,5,Soybeans,88.2,364
FIELD_0013,2020,5,Soybeans,92.3,229
FIELD_0013,2021,1,Corn,97.6,101
FIELD_0013,2022,5,Soybeans,94.1,436
FIELD_0013,2023,1,Corn,88.7,130
FIELD_0014,2020,24,Winter Wheat,91.5,103
FIELD_0014,2021,61,Fallow/Idle,89.5,434
FIELD_0014,2022,24,Winter Wheat,86.9,221
FIELD_0014,2023,24,Winter Wheat,92.2,296
FIELD_0015,2020,24,Winter Wheat,88.1,304
FIELD_0015,2021,24,Winter Wheat,91.1,147
FIELD_0015,2022,24,Winter Wheat,92.0,289
FIELD_0015,2023,24,Winter Wheat,87.0,236
FIELD_0016,2020,5,Soybeans,96.2,301
FIELD_0016,2021,1,Corn,85.2,196
FIELD_0016,2022,5,Soybeans,86.3,466
FIELD_0016,2023,1,Corn,91.7,409
FIELD_0017,2020,1,Corn,94.6,483
FIELD_0017,2021,5,Soybeans,96.4,148
FIELD_0017,2022,1,Corn,87.3,161
FIELD_0017,2023,5,Soybeans,91.9,51
FIELD_0018,2020,1,Corn,96.7,86
FIELD_0018,2021,5,Soybeans,87.5,282
FIELD_0018,2022,1,Corn,94.4,180
FIELD_0018,2023,5,Soybeans,90.3,210
FIELD_0019,2020,24,Winter Wheat,95.2,153
FIELD_0019,2021,24,Winter Wheat,85.1,148
FIELD_0019,2022,24,Winter Wheat,88.7,415
FIELD_0019,2023,24,Winter Wheat,94.0,257
FIELD_0020,2020,1,Corn,94.3,338
FIELD_0020,2021,5,Soybeans,87.3,433
FIELD_0020,2022,1,Corn,94.4,177
FIELD_0020,2023,5,Soybeans,86.2,420
FIELD_0021,2020,5,Soybeans,88.2,87
FIELD_0021,2021,1,Corn,91.3,313
FIELD_0021,2022,5,Soybeans,95.3,335
FIELD_0021,2023,1,Corn,93.7,366
FIELD_0022,2020,24,Winter Wheat,95.0,66
FIELD_0022,2021,24,Winter Wheat,91.1,95
FIELD_0022,2022,24,Winter Wheat,89.8,282
FIELD_0022,2023,24,Winter Wheat,89.3,351
FIELD_0023,2020,1,Corn,97.7,165
FIELD_0023,2021,5,Soybeans,90.0,210
FIELD_0023,2022,1,Corn,87.2,330
FIELD_0023,2023,5,Soybeans,96.0,372
FIELD_0024,2020,5,Soybeans,93.0,391
FIELD_0024,2021,1,Corn,88.3,435
FIELD_0024,2022,5,Soybeans,96.0,442
FIELD_0024,2023,1,Corn,89.7,219
FIELD_0025,2020,24,Winter Wheat,88.3,457
FIELD_0025,2021,24,Winter Wheat,91.6,362
FIELD_0025,2022,24,Winter Wheat,87.5,313
FIELD_0025,2023,24,Winter Wheat,95.3,420
