field_id,mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
FIELD_0001,410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Ida,80,Well drained,0,10,1.5,7.7,0.23,21,7,72,1.42,16.6
FIELD_0001,410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Ida,80,Well drained,10,200,0.3,8,0.21,20,6,74,1.42,15
FIELD_0001,410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Monona,10,Well drained,0,18,1.5,6.5,0.23,23.5,7,69.5,1.48,19.5
FIELD_0001,410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Monona,10,Well drained,18,61,0.75,6.7,0.21,26,6.8,67.2,1.27,20.8
FIELD_0001,410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Monona,5,Well drained,0,18,2.7,6.1,0.23,24,4,72,1.28,20.3
FIELD_0001,410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Napier,5,Well drained,0,20,3.5,6.7,0.23,23.5,7,69.5,1.35,20.1
FIELD_0001,410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Monona,5,Well drained,18,76,0.7,6.6,0.21,24,4,72,1.33,18.9
FIELD_0001,410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Napier,5,Well drained,20,74,3.25,6.7,0.23,23.5,7,69.5,1.36,20.1
FIELD_0001,410340,"Galva silty clay loam, 2 to 5 percent slopes",Galva,95,Well drained,0,15,4,5.7,0.22,32,4,64,1.28,25.2
FIELD_0001,410340,"Galva silty clay loam, 2 to 5 percent slopes",Galva,95,Well drained,15,43,3.5,6.5,0.22,33,3,64,1.28,27.3
FIELD_0001,410340,"Galva silty clay loam, 2 to 5 percent slopes",Primghar,5,Somewhat poorly drained,0,20,6.2,6.5,0.22,36,3,61,1.25,30.3
FIELD_0001,410340,"Galva silty clay loam, 2 to 5 percent slopes",Primghar,5,Somewhat poorly drained,20,43,4,6.5,0.22,37,2,61,1.3,30.5
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,0,15,3.1,5.8,0.22,32,5,63,1.28,25.2
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,15,25,1.6,6.6,0.22,32,5,63,1.28,27.3
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,25,79,1.5,7,0.19,29,5,66,1.33,24.7
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Steinauer,5,Well drained,0,10,2.7,7.9,0.18,29.5,33.6,36.9,1.45,24.5
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,5,Well drained,0,15,4,5.7,0.22,32,4,64,1.28,25.2
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Primghar,5,Somewhat poorly drained,0,20,6.2,6.5,0.22,36,3,61,1.25,30.3
FIELD_0001,410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Steinauer,5,Well drained,10,28,1.6,8.2,0.16,29.5,33.6,36.9,1.45,24
